------->CHEMICAL<------------->EQUIVALENT<----------
acetic acid                     vinegar
aluminum oxide                  alumia
aluminum potassium sulfate      alum
aluminum sulfate                alum
ammonium hydroxide              ammonia
carbon carbonate                chalk
carbon tetrachloride            cleaning fluid
calcium hypochloride            bleaching powder
calcium oxide                   lime
calcium sulfate                 plaster of paris
carbonic acid                   seltzer
ethylene dichloride             dutch fluid
ferric oxide                    iron rust
glucose                         corn syrup
graphite                        pencil lead
hydrochloric acid               muriatic acid
hydrogen peroxide               peroxide
lead acetate                    sugar of lead
lead tetrooxide                 red lead
magnesium silicate               talc
magnesium sulfate                Epsom salts
naphthalene                     mothballs
potassium chromium sulfate      chrome alum
potassium nitrate               saltpeter
sodium dioxide                  sand
sodium bicarbonate              baking soda
sodium borate                   borax
sodium carbonate                washing soda
sodium chloride                  salt
sodium hydroxide                lye
sodium silicate                 water glass
sodium sulfate                  glaubers' salt
sodium thiosulfate              photographers hypo
sulfuric acid                   battery acid
sucrose                         cane sugar
zinc chloride                    tinner's fluid


-------------------------------------------------------------------------------
This is a chart which shows you the household equilivants to many common
chemicals and acids...

-------------------------------------------------------------------------------

