
                                    144BBS.TXT
           US BBS's Supporting v.32, v.32bis, v.fc & v.34 CONNECTs

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                  [3/12/24/96/14.4k v.32bis - Public Access]
         9600 v.32/14.4k v.32bis/14.4k HST/16.8 ZyXEL Lines Available

             See 144MDM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
------------||--------------------------||-----------------||-----||-----|
201-239-0001  MicroSellar BBS             Verona             NJ     V34
201-729-7046  Candlelight Online!         Sparta             NJ     V32B
201-865-1783  Digital Consulting Support  Secaucus           NJ     V32B
202-861-1223  EFF BBS                     Washington         DC     V32B
202-861-1224  EFF BBS                     Washington         DC     V32B
203-268-1275  The Power House BBS         Trumbull           CT     V34
203-620-0001  Reverse Polarity I/S 1      Plantsville        CT     V34E
203-620-0182  Reverse Polarity I/S 2      Plantsville        CT     V34E
203-645-9246  TEK World                   Bolton             CT     V34
203-720-1366  Way Out Wild!! Node-2       Beacon Falls       CT     VFC
203-723-4138  The Lyon's Den              Union City         CT     V32B
203-723-9430  Way Out Wild!! Node-1       Beacon Falls       CT     V32B
205 882 6167  The PC Help Desk BBS        Huntsville         AL     V34E
205-751-9890  Paragon OnLine              Hartselle          AL     V32B
206-322-6913  Lions Den BBS               Seattle            WA     V32B
206-573-1417  Phaze BBS                   Vancouver          WA     V32B
206-639-0899  MasterPiece MBBS            Kent               WA     V32B
206-693-5365  The Orion BBS               Vancouver          WA     V32B
206-889-2428  East Side Chatline          Kirkland           WA     V32B
206-941-0317  ProStar Plus                Auburn             WA     V32B
207-947-3105  Mission Control BBS         Bangor             ME     VFC
210-725-5398  TRI-COM Data Network        Laredo             TX     V32B
212-254-8000  Pseudo Laissez-Faire BBS    New York           NY     V32B
212-941-0526  Photographers Network BBS   New York City      NY     V34E
213-223-9285  PhotoPro! BBS               Los Angeles        CA     VFC
213-225-5474  ThunderVolts BBS            Los Angeles        CA     V32B
213-261-8055  Mr. Wonderful's Lair!       Los Angeles        CA     V32B
213-461-2482  Break Time BBS              Los Angeles        CA     V32B
213-464-0200  Outlaw BBS                  Los Angeles        CA     V32B
213-466-3908  WiseGuy BBS                 Los Angeles        CA     V32B
213-478-1512  The Star Trek BBS           Los Angeles        CA     V32B
213-484-0260  The DownTown BBS            Los Angeles        CA     V32B
213-484-0314  The DownTown BBS            Los Angeles        CA     V34E
213-654-7337  Charlatan's Cabin           Los Angeles        CA     V34E
213-721-3399  Up All Night BBS            Los Angeles        CA     V32B
213-722-3721  The Broken Machine BBS      Los Angeles        CA     V32B
213-725-3047  KBBS                        Montebello         CA     V34
213-758-3879  Mark'System BBS             Los Angeles        CA     V32B
213-851-2127  The Tool Shop               West Hollywood     CA     V32B
213-957-2562  Summa Nulla BBS             Los Angeles        CA     V32B
213-962-2902  The BCS BBS                 Hollywood          CA     V32B
213-962-8191  Southland BBS               Los Angeles        CA     V32B
214-373-1978  HP/UP Happenings            Dallas             TX     V34E
