
                                    96LIST
                    BBS's Supporting 9600 bps CONNECT Rates

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                         [3/12/2400 -- Public Access]
              9600 v.32/14.4k v.32bis/14.4k HST Lines Available

             See 96MODEM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
------------||--------------------------||-----------------||-----||-----|
201-228-4708  Dragon's Cave               Caldwell           NJ     HST
201-228-7704  The Forest Fidonet          Caldwell           NJ     V32
201-239-1484  The VIC BBS                 Cedar Grove        NJ     HST
201-262-6612  Heaven's Gate BBS           .......            NJ     HST
201-265-7855  CCSBoard                    Emerson            NJ     VH
201-288-9076  The Wizard's Tower          Teterboro          NJ     HST
201-293-7778  Shadow Spawn BBS            Montague           NJ     HST
201-307-9225  The Quantum Zone            Park Ridge         NJ     HST
201-313-0002  Tower BBS                   Fairview           NJ     DS
201-326-9870  TMMNET                      Parsippany         NJ     TB
201-327-5775  The Arrow Tack BBS          Saddle River       NJ     DS
201-332-5306  Syntax BBS                  Jersey City        NJ     HST4
201-347-2652  Danger Zone BBS             Budd Lake          NJ     HST
201-362-5768  Hard Rock Cafe ][           Blairstown         NJ     V32
201-368-0912  CompuServe                  Rochelle Park      NJ     V32
201-385-2874  Menti's Bay                 Dumont             NJ     HST
201-387-7995  County Jail ][ BBS          Dumont             NJ     HST
201-387-9232  The Rock Pile BBS           Bergenfield        NJ     HST
201-393-0988  Merlin's Castle             Hasbrouck Hts      NJ     HST
201-398-1133  Microcosm BBS               Hopatcong          NJ     HST
201-403-0338  Camelot BBS                 Caldwell           NJ     HST
201-420-8434  The Ogate                   Jersey City        NJ     DS
201-423-0762  The Direct Connect ][       Hawthorne          NJ     HST
201-437-5706  The Depths of Hell          Bayonne            NJ     HST
201-444-1822  Flash Fire RBBS             Glen Rock          NJ     ULT
201-471-6391  The Passaic/NJPCUG BBS      Passaic            NJ     ULT
201-473-5133  SEAboard PEP                Clifton            NJ     TB
201-473-8062  SEAboard HST                Clifton            NJ     HST
201-485-5705  Vocations Central           .....              NJ     DS2
201-487-7556  The Game's Afoot BBS        Hackensack         NJ     HST
201-509-7324  The Gamer's Exchange        West Orange        NJ     V32B
201-515-8557  Chessboard                  Parsippany         NJ     HST
201-535-0655  The Crime Syndicate         Livingston         NJ     HST
201-567-6994  APFL-The BBS                Tenafly            NJ     DS
201-573-9262  Splitting Atom              Rivervale          NJ     DS
201-617-8054  Binary Information Network  .....              NJ     V32B
201-623-5666  CompuServe                  Newark             NJ     V32
201-626-3550  Newport Centre              Jersey City        NJ     DS
201-628-7287  REACT System 1              Mountain View      NJ     HST
201-641-5950  The Aviator                 Moonachie          NJ     HST
201-652-7349  Third Stone From The Sun    Ridgewood          NJ     HST
201-654-0477  Files Unlimited             Westfield          NJ     DS
201-656-5273  Happy Station BBS           Jersey City        NJ     DS
201-665-5992  Summit PCBoard              .....              NJ     DS
201-666-2013  MacIntosh BBS               Westwood           NJ     DS
201-678-1367  UNITEX Communications       Bloomfield         NJ     DS
201-678-1721  Rivendell BBS               .....              NJ     DS
201-729-0097  Zardan BBS                  Sparta             NJ     HST
201-729-1494  Chuck's Attempt 3           Sparta             NJ     HST
201-729-1713  The Demon Pit               Hainesville        NJ     DS
201-729-2652  Chuck's Attempt 4           Sparta             NJ     VH
201-729-2602  Chuck's Attempt 1           Sparta             NJ     V32
201-729-2606  Chuck's Attempt 2           Sparta             NJ     V32
201-730-7328  Arrakis BBS                 Annandale          NJ     HST
201-731-9425  SportsBoard BBS             West Orange        NJ     DS
201-742-1860  Trailblazer BBS             Paterson           NJ     HST
201-765-0164  Pick's Place                .....              NJ     DS
201-772-4835  Zap                         Garfield           NJ     HST
201-791-7471  Blue Ribbon BBS             Fair Lawn          NJ     HST
201-794-9529  Prism BBS                   Fairlawn           NJ     CS1
201-796-6890  Starship Enterprise         Elmwood Park       NJ     ULT
201-798-0065  Computer Connections        Hoboken            NJ     HST
201-806-8856  OuterLimits BBS             Flemington         NJ     HST
201-808-5574  Rivendell                   Fairfield          NJ     HST
201-835-8273  Rob's Wildcat!              Pompton Lakes      NJ     ULT
201-866-6952  Realm of Possibilities      Union City         NJ     ULT
201-881-7421  RES-Q                       Paterson           NJ     HST
201-884-2795  End of the Universe         Whippany           NJ     DS
