Fire Escape's BBS List of Local St. Louis Boards: DECEMBER 1990
************ ***************************** ********** ****** ******

PHONE #      NAME OF BBS                   SYSOP      BAUD # TYPE
============ ============================= ========== ====== ======
314-481-4821 4-Play                        [ NWRITER] [2400] [UC-B]
314-394-5507 440-Six Pack                  [F.MASTER] [2400] [TLGD]
314-895-2616 Absolute Value Multiline      [S. ABDUL] [2400] [PGON]
314-644-7152 Abyss,The                     [ASMODEUS] [2400] [WWIV]
314-352-7619 Academy & Retreat             [ RADICAL] [2400] [WWIV]
800-872-2883 Acute                              [ ? ] [2400] [PCBD]
314-298-0271 Affinity Multiline            [S MALONE] [2400] [????]
314-832-9914 Alice's Restr.                [MAITRE'D] [19.2] [PCBD]
314-631-8114 Alien's                         [ ALIEN] [1200] [C-64]
314-383-5790 All Amer. Dead People<7pm-7am>[ WARLOCK] [1200] [WWIV]
314-832-5848 Amiga Express, The                 [ ? ] [14.4] [PGON]
314-776-4110 AMSA                          [F. MOORE] [2400] [MBBS]
314-429-6980 Animal House III               [ ANIMAL] [1200] [WWIV]
314-843-5055 Antech                        [TOM GOEZ] [2400] [GOLH]
314-781-0143 Applejacks                    [MAJICMAN] [2400] [GBBS]
314-832-1839 Arena,The                     [J. BLUES] [2400] [WWIV]
314-544-2569 Aviary,The                    [ BIRDMAN] [2400] [WWIV]
314-537-9238 Bananna Repub.<"Apply" at C:> [DR.SPINE] [19.2] [WWIV]
314-569-5964 Big Mac Attack                    [ MAC] [2400] [HRMS]
314-464-1251 Boardwalk                     [N.WRITER] [14.4] [WWIV]
314-256-8920 Bob's Java Shoppe                 [ BOB] [2400] [OPUS]
314-394-3347 Brewery, The                  [BEERWOLF] [2400] [WWIV]
314-434-3470 BS Box                        [ PC GURU] [9600] [WWIV]
314-776-2482 Buckskin                       [ DENNIS] [2400] [CARI]
314-894-8083 Buggie's                       [ BUGGIE] [1200] [C-64]
314-878-6008 Bull's Eye                    [LOCKSMIT] [1200] [MTAB]
314-351-2837 Bungalow,The                    [ J-MAC] [2400] [OASI]
314-381-7504 Carl's Madhouse of Hackers       [ CARL] [9600] [ TAG]
314-965-0477 Cat Box, The                    [ JERRY] [2400] [WWIV]
314-349-5344 Cheswick's                    [CHESWICK] [2400] [RBBS]
800-526-9905 Cibertec "Bienvenidos Amigos"      [ ? ] [2400] [????]
314-837-5422 Cindex                        [ FURNISS] [2400] [QBBS]
800-654-7608 CNRF                               [ ? ] [2400] [PCBD]
314-298-8564 Computer Assist Net <Line 1>  [M.WALKER] [2400] [PCBD]
314-298-8363 Computer Assist Net <Line 2>       [ " ] [2400] [PCBD]
314-298-0937 Computer Assist Net <Line 3>       [ " ] [2400] [PCBD]
314-739-0262 Computer Information Access   [DEEPTHGT] [2400] [WWIV]
314-353-0047 Constabulary <4:00PM-8:00AM>  [ MUELLER] [2400] [MAXH]
314-869-9330 Countryside,The               [ S. RONE] [14.4] [FIDO]
314-878-8816 CUGSL <Commodore User Grp StL>[ FUHRMAN] [2400] [WWIV]
314-727-3511 Dangerous Kitchen,The         [TINGFISH] [2400] [WWIV]
314-429-7863 Darkside of the Moon          [ CELESTE] [2400] [WWIV]
800-228-3832 Desktop III                        [ ? ] [2400] [TBBS]
314-532-5997 Digital Undergrd,The          [THROTTLE] [2400] [WWIV]
800-234-1998 Digital's Store <7AM-Mid EST>      [ ? ] [2400] [????]
314-771-0093 Doc's Corner                      [ DOC] [2400] [WWIV]
314-831-7989 Dog Pound,The                 [ MAD DOG] [2400] [WWIV]
314-947-6326 Donut Hole,The                [THEDROID] [2400] [CUST]
314-863-7557 Eco Green,The                 [D.ARNOLD] [9600] [PCPL]
314-544-4988 Electronic Communications     [TECHNICI] [2400] [TREK]
314-843-0001 EMC-80                        [J. HARRE] [14.4] [OPUS]
Š 314-921-8940 End of the Rainbow          [N. RIDER] [9600] [WWIV]
314-961-2242 Epson News Line <LINE 1>      [J. QUEEN] [9600] [PCBD]
314-961-4594 Epson News Line <LINE 2>           [ " ] [2400] [PCBD]
314-772-9404 Execunet                      [LARRY #1] [2400] [DLXB]
314-343-2013 Executive Computer Systems    [D.GERNER] [2400] [FIDO]
314-861-1797 Failsafe                         [ ALEX] [14.4] [WWIV]
314-921-4269 Farside,The                     [ LEFTY] [2400] [C-64]
314-644-5777 Fellowship,The                [ TOLKIEN] [2400] [WWIV]
314-928-9228 First Capitol                 [ MUELLER] [9600] [OPUS]
314-846-4031 Fishing Pond,The                  [ BOB] [2400] [WWIV]
314-644-9098 Forest Park Autocad           [C.GILHAM] [1200] [WWIV]
314-355-5743 Forgotten Realms,The             [ YODA] [2400] [WWIV]
314-892-7341 Freedom                       [BLACKMAR] [14.4] [PGON]
314-677-8284 Freedom Station                   [ BOB] [2400] [ TAG]
314-428-4869 Friday the 13th               [ VORHEES] [2400] [UC-B]
314-776-0321 Frog                               [ ? ] [2400] [????]
314-921-6867 Future,The                    [ R. EBEN] [1200] [C-64]
314-282-0622 Galaxy                        [NINTENDO] [1200] [C-64]
314-647-3290 Gateway City                     [ SHOE] [2400] [FORM]
314-427-4119 Ghostwheel,The                [JENNEMAN] [2400] [FIDO]
314-423-5787 Glass Menagerie,The             [ TERRI] [1200] [C-64]
314-349-3099 Godzuki                       [GODZILLA] [1200] [WWIV]
314-869-4421 Grapevine,The <9pm-11am>      [TIMMERBE] [2400] [LASR]
314-434-1319 Ground Zero                     [ DROOG] [2400] [WWIV]
314-849-5042 Guild Of Sirus,The            [MOONBEAM] [1200] [WWIV]
314-533-3158 Harris Stowe College              [ LES] [1200] [TBBS]
314-521-7372 Hawkworld                     [KATARHOL] [2400] [WWIV]
314-621-7547 Hellfire Club, The               [SHAW ] [2400] [WWIV]
800-237-5551 ISAAC                              [ ? ] [2400] [UWAE]
314-434-4034 Junk Drawer                    [ MARVIN] [1200] [MTAB]
314-821-2815 Ken's Survivalist                 [ KEN] [2400] [TBBS]
314-822-2008 Kirkwood and SW <4PM-4AM>     [K. GROTE] [2400] [GBBS]
314-921-5195 Land of OZ                        [ OZZ] [2400] [WWIV]
314-821-0638 Library,The                        [ ? ] [2400] [TBBS]
314-595-4489 Longships                     [ CRUISER] [1200] [WWIV]
314-394-6683 Lost Resort,The                    [ UR] [2400] [WWIV]
314-846-2913 Luna City                     [ MYCROFT] [2400] [WWIV]
314-861-1820 M&M Factory,The               [ SNORKEL] [2400] [WWIV]
314-997-5157 M-42 - MW Astro.                [ BRIAN] [9600] [WWIV]
314-846-8929 MAC Parad.<LINE 1>            [M MASTER] [9600] [HRMS]
314-846-8982 MAC Parad.<LINE 2>                 [ " ] [2400] [HRMS]
314-776-8352 Mailbox                       [C.HEJKAL] [1200] [C-64]
314-394-3096 Main Terminal,The             [S. RIDER] [2400] [WWIV]
314-349-5212 Major Multiline <Line 1>        [ KLUTZ] [2400] [GLTC]
314-349-2697 Major Multiline <Line 2>        [ ELLEN] [2400] [GLTC]
314-961-0541 Martin's Nest,The             [EDMARTIN] [2400] [MAXI]
314-993-3689 Master Ctrl Prgm,The          [D.KNIGHT] [2400] [WWIV]
314-521-8197 MDC-RCC <Line 1>              [DARROUGH] [2400] [FIDO]
