International Apple II BBS List, September 1993
----------------------------------------------
Compiled by Mike Shecket
Additions, corrections, comments to:
mshecket@pro-tcc.cts.com (Proline)
Mike_Shecket@tap.colum.fnet.org (Futurenet)
4@NJ (Teamnet)
----------------------------------------------
Updated 08/31/93

Name                            Location                Phone Number  
----                            --------                ------------
Pro-Zap                         Rue de Kernon, France   +33-9-691-6290
Pro-Swegbg                      Goteborg, Sweden        +46-3-183-1116  
Pro-Sweosd                      Sweden                  +46-6-310-3791
Valhalla                        Stockholm, Sweden       +46-8-667-5311
Pro-Friends                     Harrington Park, NJ     201-767-6308
Byte Bastards                   Clifton, NJ             201-773-7001
Pro-NKA                         Leonia, NJ              201-944-3102
TFF                             Randolph, NJ            201-989-0545
Bit Bucket                      East Hartford, CT       203-257-9588
Pro-Freedom                     Vancouver, WA           206-694-3276
Pat's Bar and Grill             Clovis, CA              209-291-9790    
The Pirate's Cove               California              209-571-3839
The Mystic BBS/AE ][            Stockton, CA            209-957-7372
Haz-Mat II                      New York, NY            212-535-9006
Applesauce                      New York, NY            212-721-4122
Pro-Janin                       South Gate, CA          213-564-0995
The Apple Barrel                Desoto, TX              214-223-8477
Arsenal of Freedom              Garland, TX             214-271-5616
Pro-Chef                        The Colony, TX          214-370-2433
Pro-Storm                       Richardson, TX          214-644-5113
The Dog House                   Philadelphia, PA        215-924-7871
Pro-Berks                       Reading, PA             215-929-4315
The Clinic                      Rocky River, OH         216-333-4364
The Gold Mine                   Maple Heights, OH       216-581-7770
Anicent Oracle                  Cleveland, OH           216-724-2405
Slipstream                      Cleveland, OH           216-786-0876
The Space Station               Cleveland, OH           216-883-7209
Bauhaus                         Willoughby, OH          216-951-5167
Pro-Woolf                       Silver Spring, MD       301-585-1033
Cathouse                        Gaithersburg, MD        301-840-8567
The Passive Resistance          Maryland                301-890-8771
Denver Apple Pi                 Lakewood, CO            303-421-8605
Computer CACHE BBS              Denver, CO              303-745-4960
The Coven                       Denver, CO              303-777-2911
Pro-Entropy                     Miami, FL               305-265-9073
ACES Ft. Lauderdale Chapter BBS Fort Lauderdale, FL     305-431-5189
ACES MAUG Chapter BBS           Florida                 305-621-4350
Big Apple                       Miami, FL               305-948-8000
Pro-Jackalope                   Sheridan, WY            307-674-5310
The Bart's Tale                 Washington, IL          309-444-3978
AppleByters BBS                 Quad Cities area, IL    309-788-0314
Dimentia                        Quad Cities area, IL    309-796-0314
Pro-Palmtree                    Santa Monica, CA        310-453-8726
Original Apple Corps BBS        Los Angeles, CA         310-454-4660
Elvis's Hideout                 Pacific Palisedes, CA   310-459-9754
Sculley's Hatred                Gardena, CA             310-516-6017
Mike and Matt's Tavern          Torrance, CA            310-539-8723
Multiple Personalities          California              310-548-1143
Appleholics Anonymous           Rancho Dominguez, CA    310-632-1458
Star Base 74                    Whittier, CA            310-695-6785
N. Ill. Computer Society BBS    Arlington Heights, IL   312-351-4374
Pro-FAC                         Flint, MI               313-230-7754
Pro-Quality                     St. Clair Shores, MI    313-774-2652
Virtual Space Industries        Detroit, MI             313-842-6739
Pro-Applejacks                  Fenton, MO              314-781-0143
OMEGA PRO                       Wichita, KS             316-721-7735
The Hairy Buffalo               Indianapolis, IN        317-783-5122
Sanitarium                      Indianapolis, IN        317-891-0821
Apple Pickers BBS               Indianapolis, IN        317-897-1989
Tarnished Knight                DeRidder, LA            318-463-2100
Pro-Gumbo                       Shreveport, LA          318-861-1012
Pro-Babbage                     Davenport, IA           319-391-3301
TI BBS                          Calgary, AB, Canada     403-273-0492
Pro-Calgary                     Calgary, AB, Canada     403-278-9146
Trojan Horse                    Edmonton, AB, Canada    403-474-7094
The Dark Tower                  Grnd Centre, AB, Canada 403-594-1402
Lightning Strikes Here          Orlando, FL             407-297-7288
Pro-Magic                       Oviedo, FL              407-366-0156
Southern Exposure               Orlando, FL             407-438-1159
ACES W. Palm Beach Chapter BBS  West Palm Beach, FL     407-483-8426
Pro-Carolina                    Orlando, FL             407-858-9937
Starkist                        Orlando, FL             407-859-9999
The GS Express                  San Jose, CA            408-259-7645
Apple Byte GS                   San Jose, CA            408-578-3201
Pro-Haven                       Bryan, TX               409-822-5534
The Electrical Diralect         Hempstead, TX           409-826-4087
