International Apple II BBS List, April 16, 1996
-----------------------------------------------
Compiled by Mike Shecket

Updated 4/16/96 by Gabe Sanchez 

To report changes or corrections please send 
email to:

Email- butch@netcom.com
ftp://ftp.netcom.com/pub/bu/butch/gabe.html


All speeds are v.32bis or v.32 et all. unless denoted by then following
D   = USRobotics Dual Standard
HST = High Speed Technology (USRobotics protocol)


-----------------------------------------------

 
Name                            Location                Phone Number  Max Baud
----                            --------                ------------  ---------
Dark Castle                     Doetinchem, Holland    314-365145  14.4k
Pro-Zap                         Rue de Kernon, France  96916290
TABBS                           United Kingdom         1225-743797 14.4k
AUG-Sweden                      Gothenburg, Sweden      31922324   14.4k
Valhalla.                       Stockholm, Sweden       86633057 
Satan's Host                    Germany                 6215294251
The Complex II                  Sydney, Australia       24172729
Apple Users' Group              Sydney, Australia       24497798
Silicion Sarcophagous           Melbourne, Australia    3-9-543-2585
AUSOM Premium Access            Melbourne, Australia    3-9-358-74194
Newton On-Line                  Singapore               7912670
Pro-Friends                     Harrington Park, NJ     201-767-6308
Byte Bastards                   Clifton, NJ             201-773-7001
The Xerox Machine               New Jersey              201-827-6474
Bit Bucket                      East Hartford, CT       203-257-9588
The AppleBox                    Winnipeg, MB, Canada    204-224-0683
Pro-Freedom                     Vancouver, WA           206-694-3276
The Computist BBS               Tacoma, WA              206-472-0601   14.4k
The Colony                      Fresno, CA              209-233-2937
The Pirate's Cove               California              209-571-3839
The Mystic BBS/AE ][            Stockton, CA            209-957-7372
Haz-Mat II                      New York, NY            212-535-9006
Pro-Janin                       South Gate, CA          213-564-0995
The Apple Barrel                Desoto, TX              214-223-8477
Pro-Chef                        The Colony, TX          214-370-2433
Pro-Storm                       Richardson, TX          214-644-5113
Twilight Of Reality             Irving, TX              214-659-0108
Pro-Berks                       Reading, PA             215-929-4315
Damage Incorporated             Cleveland, OH           216-328-0374
The Clinic                      Rocky River, OH         216-333-4364
The Receiving Set               Cleveland, OH           216-662-9928
The Space Station               Cleveland, OH           216-883-7209
The Amiga Workbench             Lorain, OH              216-233-8793
The Amiga Workbench             Lorain, OH              216-233-4292
The Amiga Workbench             Lorain, OH              216-233-4293
Tower                           Willoughby, OH          216-951-5167
Yllar 17                        Illinois                217-442-6397   9600
Pro-Woolf                       Silver Spring, MD       301-585-1033
National Capital Apple II       Maryland, DC vicinity   301-868-9554
