Listing Created : 04-28-95  09:08:45


                          The HealthCare Network

                               BBS Listing

The following systems represent BBSs which are Networked into the Health
Care Network via a Fido compatible mailer. They accept Direct calls from
individual users.

Sorted by Phone Number

BBS Name                              Location             Phone Number
-------------------------------------------------------------------------
The Nursing Network                   Meriden Ct           1-203-237-1131
The Wolf's Revenge                    Trumbull Ct          1-203-261-4963
The Pharmacy BBS                      Wallingford Ct       1-203-269-5640
Hippocampus BBS                       Branford Ct          1-203-484-4621
Excalibur's BBS                       Winsted CT           1-203-738-0025
The Data Stream BBS                   Athens AL            1-205-232-2400
Sleepless Knights BBS                 Athens AL            1-205-233-5730
The Family Smorgasboard node 2        Pleasant Grove AL    1-205-744-0932
The Family Smorgasboard node 1        Pleasant Grove AL    1-205-744-0943
Cyberquest                            Seattle WA           1-206-343-5688
Peachy Keeno Inn                      Tacoma WA            1-206-539-0804
Peachy Keeno Inn                      Tacoma WA            1-206-539-0804
The Focal Point                       Tacoma WA            1-206-564-9044
Knight-Line!                          Tacoma WA            1-206-565-0696
TiRo Haz-Mat Network BBS              Vancouver WA         1-206-896-4165
Swamplands                            Lebanon ME           1-207-457-2273
Mental Health Proff                   Caribou ME           1-207-493-3138
Clovis-Net BBS                        Fresno CA            1-209-292-3530
Informed Sources                      Harlem NY            1-212-281-9478
Puss N Boots                          Richardson TX        1-214-437-0688
Logon Philadelphia                    Ryda PA              1-215-572-8240
LOGON Philadelphia                    Rydal PA             1-215-572-8240
Steel Valley BBSystem                 Girard OH            1-216-545-2318
The Special Needs BBS                 Whiting IN           1-219-659-0112
F.Y.B.I.T.S.                          Hammond IN           1-219-844-3580
F.Y.B.I.T.S.                          Hammond IN           1-219-844-3580
PC Nurse                              N.Bowers Beach DE    1-302-335-3088
The "us" Project                      Wilmington DE        1-302-529-1650
PC Nurse                              New Castle DE        1-302-655-3607
The Computer Factory BBS              Greeley CO           1-303-330-2049
The Computer Factory                  Greeley CO           1-303-330-2049
Killarney Narrows                     Huntington WV        1-304-523-8643
Killarney Narrows                     Huntington WV        1-304-523-8643
Coal Country BBS                      Hurricane WV         1-304-562-2263
The Information Interchange BBS       Fort Lauderdale FL   1-305-792-9622
Zeller Zone                           Peoria IL            1-309-681-8727
Doc's Place II                        Peoria IL            1-309-682-6430
Doc's Place BBS                       Peoria IL            1-309-682-6560
Wally's VetLink#70 BBS                Cape Girardeau MO    1-314-339-0248
The Dutchess CoCo                     Columbia MO          1-314-474-2429
OPTOMETRY ONLINE                      St. Louis MO         1-314-516-6068
Origins Talk                          St. Louis MO         1-314-821-1078
DOC in the BOX CBIS                   Jefferson City MO    1-314-893-6099
DOC's 2                               Jefferson City MO    1-314-893-6111
The I.O. Board                        Anderson IN          1-317-644-3039
Bayou BBS Node 1                      West Monroe LA       1-318-397-1822
Bayou BBS Node 2                      West Monroe LA       1-318-397-2109
Advanced Applications                 Omaha NE             1-402-558-8283
Flossie's Saloon                      Calgary Alberta Cana 1-403-263-2530
Material Impact                       Red Deer Alberta Can 1-403-346-8537
Emergency Room BBS                    Duluth GA            1-404-497-9059
The Atlanta Information System        Tucker Georgia       1-404-939-1248
Bink's Barn TBBS                      Lawton OK            1-405-357-2473
Our Special Kid's Info Exchange       Norman OK            1-405-387-9315
MEDICUS BBS                           Edmond OK            1-405-478-8250
The Cutting Edge BBS                  Moore OK             1-405-793-9728
Computer Information Associates       Moore OK             1-405-843-0753
MED-LIFE BBS                          Orlando FL           1-407-292-1427
PipeLine! BBS                         Palm Bay FL          1-407-728-7386
EnviroNaut                            Longwood FL          1-407-774-9473
Uss Discovery                         Altamonte Springs FL 1-407-788-3340
Memory Prime BBS                      Waynesburg PA        1-412-627-8036
Berkshire County Fire Board           Lanesboro MA         1-413-448-6292
Berskshire Hills BBS                  Adams MA             1-413-743-1111
Quabog Valley                         Ware MA              1-413-967-8101
Under Construction BBS                West Allis WI        1-414-257-2304
The IN-MED BBS                        Milwaukee WI         1-414-259-9629
ADAP Online BBS                       Conway AR            1-501-329-0448
Global Gateways                       Conway AR            1-501-329-7508
InfoTech Communications               Bowling Green KY     1-502-796-1817
