
               Hooter's 500+ BBS Listing   C-Shift BBS

    BBS Name                  Phone Number   ST Baud BBS Software        

Hole in the Wall______________907-338-0348   AK 1200 ?                   
Shadizar Kingdom______________907-479-4524   AK 1200 BBS Express!        
The Public Domain_____________907-338-5005   AK 1200 BBS Express!        
Euporium______________________907-892-9065   AK 1200 BBS Express!        
Bloom County__________________205-772-8526   AL 1200 Forem ST            
LRBBS_________________________501-224-9454   AR 1200 ST-Unk Software     
Bookman's ST Emporium_________602-745-2837   AZ 1200 ST-Unk Software     
Apollo________________________602-246-1432   AZ 1200 8-Bit               
Magrathea_____________________602-833-9216   AZ 1200 BBS Express!        
The New Church________________602-849-0280   AZ 1200 8-Bit               
Bear Tracks II________________602-968-0372   AZ 1200 8-Bit               
Wheels and Waves______________602-375-1604   AZ 1200 BBS Express!        
Phaze Computeing BBS__________602-258-7205   AZ 1200 ST Citidel          
Morrison Hotel________________602-881-5058   AZ 1200 BBS Express!        
Atari Corporation #4__________408-745-4758   CA 1200 Michtron ST         
Atari Corporation #3__________408-745-2642   CA 1200 Michtron ST         
Atari Corporation #2__________408-745-5970   CA 1200 Michtron ST         
Atari Corporation #1__________408-745-5308   CA 1200 Michtron ST         
PC Heaven_____________________213-374-7929   CA 1200 Forem ST            
OSS, Inc______________________408-446-3451   CA 1200 8-bit               
B.A.U.G.______________________408-358-1520   CA 1200 Michtron ST         
Ace Connection________________408-353-4531   CA 1200 BB/ST               
Iron Works____________________408-257-7147   CA 2400 ST-Unk Software     
Atari Shoppe BBS______________408-249-4029   CA 1200 ST-Unk Software     
Star Fleet Academy____________408-244-1614   CA 2400 BB/ST               
Yamo's Yacking Yard___________408-227-7868   CA 1200 Michtron ST         
Micronic Connection___________213-867-5073   CA 1200 Michtron ST         
The Mid-Cities Connection_____213-867-1943   CA 1200 Michtron ST         
Fresno ST User Group__________209-292-1777   CA 1200 Michtron ST         
Mount Olympus_________________209-526-9889   CA 1200 Forem ST            
SLCC__________________________415-782-4402   CA 1200 ST-Unk Software     
Excalibur_____________________203-776-1411   CA 1200 St-Unk Software     
Atari 16+32___________________818-996-9565   CA 1200 St-Unk Software     
Exceptonal Software BBS_______818-769-9538   CA 1200 ST-Unk Software     
Infinity______________________818-760-0943   CA 1200 Forem ST            
The Way BBS___________________818-363-3505   CA 1200 z?                  
Inner Realm___________________818-352-7102   CA 1200 Forem ST            
Camp Crystal Lake_____________818-352-0046   CA 1200 ST-Unk Software     
STATE (ST Aplications Mag.)   707-585-2194   CA 1200 8-bit               
SMART_________________________619-741-2369   CA 1200 ST-Unk Software     
ST*SIG Online Edition_________619-726-4419   CA 1200 Michtron ST         
Ridge Crest BBS_______________619-375-6750   CA 1200 Forem ST            
Stallion BBS__________________619-428-0319   CA 1200 ST-Unk Software     
Atari Line Express____________619-282-6608   CA 1200 ST-Unk Software     
Amber_________________________415-964-0584   CA 1200 ST-Unk Software     
STrategic Command_____________415-939-6275   CA 1200 Michtron ST         
Castle BBS____________________415-939-5606   CA 1200 ST-Unk Software     
Liad BBS______________________415-939-3586   CA 1200 ST-Unk Software     
Weird City____________________213-273-5234   CA 1200 Forem ST            
Midi World Network____________213-826-4288   CA 1200 Michtron ST         
KOME__________________________408-985-8675   CA 1200 Michtron ST         
ST Users BBS__________________415-221-9505   CA 1200 Michtron ST         
Beckemeyer Development________415-452-4792   CA 1200 Forem ST            
WelchNet______________________415-664-2811   CA 1200 z?                  
X-Factor______________________408-279-8086   CA 1200 ST-Unk Software     
Rats Nest_____________________714-989-3381   CA 1200 Forem ST            
The Bookstore_________________213-921-0055   CA 1200 BBS Express!        
Forbidden Zone________________415-665-1411   CA 1200 8-Bit               
Atari Clubhouse_______________415-236-7478   CA 1200 8-Bit               
Black Wares___________________619-279-8176   CA 1200 BBS Express!        
A.F.A.C.______________________714-781-8774   CA 1200 8-Bit               
Atari Outland BBS_____________916-962-2566   CA 1200 8-Bit               
