
                     Bulletin Board Phone Book
                     (DOWNLOAD USING: BBS.TXT)
    Numbers that start with:   8 = Autovon  or  9 = Comm.
                NOT ALL NUMBERS HAVE BEEN VERIFIED.
          * = Good sources for programs and information.
    Name                                 Number        Comm

  1 ANG/CIC                             1-800-367-2172 1200 8-N-1

  2 ARTIFICAL INTELLIGENCE BBOARD          8,,339-5012 1200 8-N-1

* 3 ATC SCTC (24 HRS)                      8,,487-4091 2400 8-N-1

* 4 ATC/SP (24 HRS)                        8,,487-3669 2400 8-N-1

  5 CANNON AFB (FIDO)                      8,,681-2303 1200 8-N-1

* 6 C2MUG #1                               8,,552-7675 1200 8-N-1

  7 C2MUG #2                               8,,862-1015 1200 8-N-1

  8 DCASR BOSTON                           8,,955-4999 1200 8-N-1

  9 DCASR BOSTON                           8,,955-4999 1200 8-N-1

 10 DCASR CHICAGO                          8,,930-6550 1200 8-N-1

 11 DCASR CHICAGO                          8,,930-6550 1200 8-N-1

 12 DCASR GRAND CENTRAL                    8,,994-3529 1200 8-N-1

 13 DCASR GRAND CENTRAL NY                 8,,944-3529 1200 8-N-1

 14 DDN (GUNTER AFS)                       8,,446-4682  300 8-N-1

 15 DDN 1-800 NUMBER                    1-800-368-2217 1200 8-N-1

 16 DDN2 (GUNTER AFS)                      8,,446-3576  300 8-N-1

 17 DDN3 (GUNTER AFS)                      8,,446-3288  300 8-N-1

 18 DEF LOG AGENCY COLUMBUS OH             8,,850-3588 1200 8-N-1

*19 DIAL-A-LOG (24 HRS) (GUNTER AFS)       8,,446-3678 1200 8-N-1

*20 DIAL-A-LOG 2 (24 HRS) (GUNTER AFS)     8,,446-3688 1200 7-E-1

 21 DLA BCASR-CA-AC                        8,,883-1974 1200 8-N-1

 22 DLA DCRI-CRF                           8,,930-6552 1200 8-N-1

 23 DLA DCRI-CRF                           8,,930-6523 1200 8-N-1

 24 EDWARDS AFB (FIDO)                     8,,527-3429 1200 8-N-1

 25 FACSFAC ST INIGOES MD                  8,,356-3517 1200 8-N-1

 26 FASMUG FT SILL OK                      8,,639-5255 1200 8-N-1

 27 FSMAO-2 PENDLETON CA                   8,,365-5753 1200 8-N-1

 28 FUEL MGMT LAUGHLIN (1600-0600)         8,,732-4386 2400 8-N-1

 29 GPCSC                                  8,,364-5637 1200 8-N-1

 30 HILL AFB                               8,,458-2989 1200 8-N-1

 31 HQ AFLC SP                             8,,787-8357 1200 8-N-1

 32 HQ SAC SP TSGT EVERETT (NOT A BBS)     8,,271-5770 1200 8-N-1

 33 HQAFOSP RBBS (NEW) (1 FEB 88)          8,,246-7961 2400 8-N-1
    (SP Software Exchange)

 34 JAGNET WASHINGTON DC                   8,,221-0748 1200 8-N-1

 35 JAGNET2 BREMERTON WA                   8,,439-5748 1200 8-N-1

 36 JAGNET3 NJS NEWPORT RI                 8,,948-3990 1200 8-N-1

