
-------------------------------------------------------------------------------
NAME                    NUMBER          SPEED           SETTINGS        TYPE
-------------------------------------------------------------------------------
ACCESS                  800-445-9670    1200-2400       N-8-1           E
ADA-9X                  800-232-9925    1200-2400       N-8-1           S
AFRICAN STUDIES   *NEW* 800-446-0396    1200-9600       N-8-1           E
ATN                     800-950-6287     300-9600       N-8-1           G
AGRIDATA                800-553-3244    1200-2400       E-7-1           SA
ALLIN1                  800-752-4967    1200-2400       N-8-1           SA
OPEN UNIV.              800-486-6948     300-2400       N-8-1           SA
AMDAHI                  800-845-2959    1200-2400       N-8-1           E
AMIGA BBS               800-423-2823    1200-2400       N-8-1           G
ARI SERVICES            800-553-3244    1200-2400       N-8-1           U
AT&T                    800-548-2996    1200-2400       N-8-1           S
AT&T MAIL               800-624-5123    1200-2400       N-8-1           EM$
AT&T TRAININNG          800-662-0662    1200-2400       N-8-1           U
AUTONET                 800-827-3001     300-2400       E-7-1           DWN
AUTOVANTAGE             800-336-7663     300-2400       N-8-1           $
BANK ASSOCIATION        800-221-5451     300-2400       N-8-1           U
BEVERAGE                800-777-0082     300-2400       N-8-1           SA
BEVERAGE                800-777-0262     300-2400       N-8-1           SA
BREADNET          *NEW* 800-486-6948    1200-9600       N-8-1           G
BUPERS ACCESS           800-346-0217    1200-9600       N-8-1           G
BUPERS ACCESS           800-346-0218    1200-9600       N-8-1           G
BUPERS ACCESS           800-346-0227    1200-9600       N-8-1           G
CITICORP                800-223-3312    1200-2400       N-8-1           SA
CNO BBS                 800-582-2355    1200-9600       N-8-1           G
CNO BBS                 800-582-6940    1200-9600       N-8-1           G
CNRF                    800-654-7608    1200-2400       N-8-1           U
COM-FEM                 800-328-3362     300-9600       N-8-1           $
COMPUSERVE              800-453-4794     300-2400       E-7-1           DWN
COMPUSERVE              800-346-3247     300-2400       E-7-1           DWN
COMPUSERVE              800-848-4480     300-2400       E-7-1           DWN
COMPUSERVE              800-554-4088     300-2400       N-8-1           DWN
COMPUSERVE              800-331-7166     300-2400       N-8-1           DWN
COMPUSTORE              800-336-7663     300-2400       E-7-1           $
COMP-U-MALL             800-533-6385    1200-2400       N-8-1           G
COMTROL                 800-926-6876     300-2400       N-8-1           U
COMTEL DUAT             800-767-9989     300-2400       N-8-1           G
COOPERATIVE LEARNING    800-457-7227     300-2400       N-8-1           E
DATA1 BBS               800-367-2172    1200-9600       N-8-1           G
DATA FLEX               800-444-8080     300-2400       N-8-1           G
DATA FLEX               800-444-4472     300-2400       N-8-1           G
DATA TRANSFORMATION     800-245-3828     300-2400       N-8-1           U
DBED                    800-421-3233     300-2400       N-8-1           E
DEC ELE. STORE          800-234-1998     300-9600       E-7-1           S
DECSERVER               800-326-5476     300-9600       N-8-1           SA
DELPHI                  800-365-4636     300-2400       E-7-1           SU
DENTAL OFFICE           800-228-5424     300-2400       N-8-1           SA
DEPT. OF AGRICULTURE    800-624-2723     300-2400       N-8-1           G
DEPT. OF EDUCATION      800-222-4922     300-2400       N-8-1           E
DESKTOP                 800-228-3832     300-2400       N-8-1           S
DIAL-JAN                800-342-5526     300-2400       N-8-1           S
DIALNET                 800-847-1620     300-2400       N-8-1           DWN
DIAMOND BANDS           800-777-9975     300-2400       E-7-1           U
DIGITAL DREAMS          800-937-7644     300-9600       N-8-1           SU-$
DIRECT USER ACCESS      800-245-3828     300-2400       N-8-1           U
DLA                     800-458-7904     300-2400       N-8-1           U
DRF                     800-222-0256     300-2400       N-8-1           U
DWIE                    800-932-7459     300-2400       N-8-1           S
EASTER SEALS      *NEW* 800-274-9174    1200-9600       N-8-1           S
EASTER SEALS      *NEW* 800-374-4245    1200-9600       N-8-1           S
E-BOX                   800-362-1612     300-2400       N-8-1           G$
EDISON                  800-745-3868     300-2400       N-8-1           U
EDLINE                  800-736-4045     300-2400       N-8-1           E
EDUNET                  800-642-7375     300-2400       N-8-1           E
EEOC                    800-872-5562     300-2400       N-8-1           E
ELSBOARD                800-886-2302     300-2400       N-8-1           S
EPSON                   800-234-1445     300-2400       N-8-1 ext 8777  S
EXAMINERS         *NEW* 800-858-2107    1200-9600       N-8-1           S
EMERALD PALACE    *NEW* 800-967-9385    1200-9600       N-8-1           P
ENVIRONMENTAL BBS       800-445-7218     300-9600       N-8-1           S
ERS               *NEW* 800-821-6229    1200-9600       N-8-1           S
EVENT HORIZONS          800-466-6336     300-9600       N-8-1           $
FAA                     800-426-3814     300-2400       N-8-1           G
FDA                     800-222-0185     300-2400       E-7-1           G
FDIC                    800-624-7295     300-2400       N-8-1           G
FEDIX                   800-232-4879     300-2400       N-8-1           G
FEDIX & MOLIS           800-783-3349     300-9600       N-8-1           E
FLORIDA RECYCLING       800-348-1239     300-9600       N-8-1           S
