

       Updated 1/20/91

                  BBS Numbers used by KeelyNet

         NAME                                    NUMBER   BAUD P D S D

       1 Cheyenne Mountain - Warren      1 915 833 0405   2400 N-8-1 F
       2 Reflections - Kurt                    259 9750   2400 N-8-1 F
       3 Collectors Edition - Len              351 9859   2400 N-8-1 F
       4 Central - Jeffrey                     393 7090   2400 N-8-1 F
       5 Major BBS/Sherman, TX           1 214 870 0042   2400 N-8-1 F
       6 Nasa Spacelink                  1 205 895 0028   2400 N-8-1 F
       7 IJCA/Vendyl - John Hill         1 817 346 1038   2400 N-8-1 F
       8 Double Helix - Jeff             1 212 865 7043   2400 N-8-1 F
       9 Psychology Forum                      368 5474   2400 N-8-1 F
      10 Interociter                           258 1832   2400 N-8-1 F
      11 Tesla BBS - Toby Grotz          1 719 486 2775   2400 N-8-1 F
      12 Zeitgeist                             596 3720   2400 N-8-1 F
      13 Image Exch. .GIF files                517 8557   2400 N-8-1 F
      14 DarkSide - Ken & Mary Geest     1 314 644 6705   2400 N-8-1 F
      15 Electrolink - David Grant       1 501 525 1681   2400 N-8-1 F
      16 Backdoor                        1 501 337 0566   2400 N-8-1 F
      17 Databank - Vince Martin               681 2218   2400 N-8-1 F
      18 The Connection - Alan Beck      1 414 295 4301   2400 N-8-1 F
      19 Weirdbase                       1 314 741 2231   2400 N-8-1 F
      20 Scooter                         1 215 657 5586   2400 N-8-1 F
      21 Wildcat                         1 805 395 0650   2400 N-8-1 F
      22 WrongNumber - Clark Matthews    1 201 451 3063   2400 N-8-1 F

            All numbers with no AREA CODE indicate Dallas (214)

