 
 
                     ALPHA FIELD POD PERFORMANCE REPORT
 
 
GD050114.DAT - GD050130.DAT
 
 
           |       AVG        |  |   AVG   | |   AVG   | |    OVERALL    |
           |--- GAME ACTION --|  | TX STAT | | RX STAT | |- PERFORMANCE -|
           |                  |  |         | |         | |               |
POD   #    ID  BASE   POD   VAL   BAD    NO  UNKN  MISS  HITS  HITS   RST
 #   GMS       CODE   HIT  CODE  CODE   COM  CODE  CODE  SENT  ACKN
RED
  1    4  310     0    10     7     1     2     0     2    10    10     0 
  2    3   36   235    18    37     0     2     1     2    19    18     0 
  3    2   64   209    28    29     0     1     0     0    33    33     0 
  4    3  144   159    15     8     0     2     1     1    16    16     0 
  5    2  103   190    19    11     0     3     2     2    20    20     0 
  6    7   57   226    16    24     0     3     0     3    18    17     0 
  7    3  178   104    25    13     0     1     1     7    29    28     0 
  8   10   77   200    22    27     0     3     1     1    24    24     0 
  9    5   66   222    21    19     0     1     0     1    23    22     0 
 10    6  126   152    20    27     0     3     1     1    22    22     0 
101    3   74   205    21    24     0     4     0     2    24    23     0 
102    4   96   195    19    13     0     2     0     5    20    20     0 
 11    9   40   238    25    22     0     3     1     1    27    27     1 
 12    9  135   159    17    15     0     1     3     0    18    18     0 
 13    6   81   207    18    17     0     2     1     5    19    19     0 
 15    7  100   169    17    41     0     1     0     1    18    18     1 
 16    3  134   165    17     7     0     2     1     4    19    18     0 
 17    5  130   157    19    22     0     2     0     1    20    20     0 
 18    5  187   101    28    11     0     2     0     0    30    30     0 
 19    7  133   162    16    10     0     3     1     4    18    17     0 
 20    8  127   168    14    18     0     1     0     0    16    15     1 
GRN
  1    6  144   144    18    19     0     1     1     2    20    19     0 
  2    1   66   245    10     3     0     1     0     4    10    10     1 
  3    6   98   183    14    26     0     2     2     5    16    15     0 
  4    3  221    75    19    14     0     1     0     0    20    20     0 
  5    7   96   180    18    33     0     2     0     0    20    20     0 
  6    6   68   218    13    24     0     1     1     6    14    14     0 
  7    5  153   147    16    10     0     2     1     0    17    17     0 
  8    8   82   197    22    25     0     1     1     2    24    24     0 
  9    3   70   185    27    43     0     5     0     0    30    29     2 
 10    6  172   124    18    14     0     2     0     0    19    19     0 
101    6   92   197    17    21     1     2     0     1    18    17     0 
102    5  130   162    20    15     0     2     0     0    22    21     0 
 12    4  117   172    13    26     0     3     0     0    13    13     1 
 13    8   62   231    16    17     0     2     1     1    17    17     0 
 15    5   52   234    19    22     0     2     0     0    20    20     0 
 16    5  155   126    21    21     0     2     0     3    22    22     0 
 17    8  145   138    24    20     0     2     0     1    26    26     0 
 18    9   95   187    25    20     0     3     0     0    26    26     0 
 19    7  201    91    19    16     0     1     0     0    20    20     0 

 20     0     3     0     0    26    26     0 
 19   
