Index for  THO files up to number 13.  List compiled by Pip the
Angry Youth in a fit of boredom on 4/7/1994.

iSSue             TiTLe                  auTHoR
1                 POD                    MoTHeR 69
2                 SeLF eXaMaNaTioN       MoTHeR 69
3                 My Pee Pee TeST        JaVa MaN
4                 PoeMS                  MoTHeR 69
5                 CHeaT 4 a RePoRT       MoTHeR 69
6                 HiSToRY oF HaCKiNG     iCaRuS
7                 DeeP FRieD FuSioN      PiP THe aNGRY YouTH
8                 SToRY                  PiP THe aNGRY YouTH
9                 CoMMeNTaRY             PiP THe aNGRY YouTH
10                CHRoNiCLeS oF PaT      MaBCoSS
11                MoDeRN DaY FaBLeS      PiP THe aNGRY YouTH
12                WoRLD'S BeST TaGLiNES  PiP THe aNGRY YouTH
13                iNDeX FoR #s 1-13      PiP THe aNGRY YouTH
