From ed@das.llnl.gov (Edward Suranyi) Fri Jun 22 14:10:52 1990
Path: aramis.rutgers.edu!rutgers!uwm.edu!lll-winken!das!ed
From: ed@das.llnl.gov (Edward Suranyi)
Newsgroups: rec.music.misc
Subject: KITS list: Top 300 Mod. Rock songs
Summary: Here it is.
Message-ID: <62527@lll-winken.LLNL.GOV>
Date: 22 Jun 90 18:10:52 GMT
Sender: usenet@lll-winken.LLNL.GOV
Reply-To: ed@das.UUCP (Edward Suranyi)
Organization: Dept. of Applied Science, UC Davis at LLNL
Lines: 308

Well, not a single person told me not to post this, and I got
lots of requests *to* post it, so here it is:

Here is the KITS Memorial Day 1990 Countdown, as voted by the listeners.
(Note that #300 is missing because of an error in the printing):

1. THE SMITHS                   HOW SOON IS NOW?
2. NEW ORDER                    BIZARRE LOVE TRIANGLE
3. MODERN ENGLISH               I MELT WITH YOU
4. ALPHAVILLE                   FOREVER YOUNG
5. THE CURE                     PICTURES OF YOU
6. NEW ORDER                    BLUE MONDAY
7. THE CURE                     JUST LIKE HEAVEN
8. SOFT CELL                    TAINTED LOVE
9. DEPECHE MODE                 JUST CAN'T GET ENOUGH
10. ERASURE                     OH L'AMOUR
11. CUBE                        LOVE'S TABOO
12. MINISTRY                    EVERY DAY IS HALLOWEEN
13. NEW ORDER                   TRUE FAITH
14. JOY DIVISION                LOVE WILL TEAR US APART
15. SINEAD O'CONNOR             NOTHING COMPARES 2 U
16. SECESSION                   THE MAGICIAN
17. THE CURE                    IN BETWEEN DAYS
18. U2                          PRIDE (IN THE NAME OF LOVE)
19. DEPECHE MODE                ENJOY THE SILENCE
20. YAZ                         SITUATION
21. THE B-52'S                  ROCK LOBSTER
22. STEPHEN "TIN TIN" DUFFY     KISS ME
23. WHEN IN ROME                THE PROMISE
24. THE CURE                    BOYS DON'T CRY
25. TALK TALK                   IT'S MY LIFE
26. OINGO BOINGO                DEAD MAN'S PARTY
27. TIME ZONE                   WORLD DESTRUCTION
28. DEPECHE MODE                STRANGELOVE
29. YAZ                         ONLY YOU
30. DRAMARAMA                   ANYTHING ANYTHING
31. THE SMITHS                  THERE IS A LIGHT THAT NEVER GOES OUT
32. R.E.M.                      THE ONE I LOVE
33. ROXY MUSIC                  AVALON
34. GENERAL PUBLIC              TENDERNESS
35. EBN OZN                     A E I O U SOMETIMES Y
36. DEPECHE MODE                PERSONAL JESUS
37. THE SEX PISTOLS             ANARCHY IN THE U.K.
38. THE CLASH                   SHOULD I STAY OR SHOULD I GO?
39. PSYCHEDELIC FURS            THE GHOST IN YOU
40. THE CURE                    LOVE SONG
41. ELECTRONIC                  GETTING AWAY WITH IT
42. THE B-52'S                  LOVE SHACK
43. THE LIGHTNING SEEDS         PURE
44. THE CURE                    CLOSE TO ME
45. R.E.M.                      IT'S THE END OF THE WORLD AS WE KNOW IT
46. PET SHP BOYS                ALWAYS ON MY MIND
47. THE STONE ROSES             I WANNA BE ADORED
48. THE SMITHS                  GIRLFRIEND IN A COMA
49. THE PLIMSOULS               A MILLION MILES AWAY
50. U2                          SUNDAY BLOODY SUNDAY
51. THE CURE                    A FOREST
52. ERASURE                     CHAINS OF LOVE
53. THE SUNDAYS                 HERE'S WHERE THE STORY ENDS
54. THE ROMANTICS               WHAT I LIKE ABOUT YOU
55. CANDY FLIP                  STRAWBERRY FIELDS FOREVER
56. PETER SCHILLING             THE DIFFERENT STORY
57. VIOLENT FEMMES              BLISTER IN THE SUN
58. DEPECHE MODE                PEOPLE ARE PEOPLE
59. THE CURE                    LOVE CATS
60. HEAVEN 17                   LET ME GO
61. TALKING HEADS               ONCE IN A LIFETIME
62. THE ENGLISH BEAT            I CONFESS
63. THE CURE                    LULLABY
64. THE CLASH                   ROCK THE CASBAH
65. ANYTHING BOX                LIVING IN OBLIVION
66. ERASURE                     A LITTLE RESPECT
67. SIOUXSIE & THE BANSHEES     CITIES IN DUST
68. KATE BUSH                   WUTHERING HEIGHTS
69. U2                          NEW YEAR'S DAY
70. B-MOVIE                     NOWHERE GIRL
71. DEPECHE MODE                EVERYTHING COUNTS
72. SINEAD O'CONNOR             MANDINKA
73. THE CLASH                   TRAIN IN VAIN
74. PET SHOP BOYS               WEST END GIRLS
75. TONES ON TAIL               GO!
76. GRANDMASTER FLASH           WHITE LINES
77. SIMPLE MINDS                DON'T YOU (FORGET ABOUT ME)
78. DEPECHE MODE                BLASPHEMOUS RUMOURS
79. THEY MIGHT BE GIANTS        BIRDHOUSE IN YOUR SOUL
80. ECHO & THE BUNNYMEN         LIPS LIKE SUGAR
81. U2                          BAD
82. UNTIL DECEMBER              UNTIL DECEMBER
83. THE SEX PISTOLS             GOD SAVE THE QUEEN
84. ERASURE                     STAR
85. THE CURE                    FASCINATION STREET
86. JANE'S ADDICTION            JANE SAYS
87. XTC                         DEAR GOD
88. FRONT 242                   HEADHUNTER
89. THE CURE                    LET'S GO TO BED
90. NEW ORDER                   FINE TIME
91. EURYTHMICS                  SWEET DREAMS
92. FRANKIE GOES TO HOLLYWOOD   RELAX
93. DEPECHE MODE                SOMEBODY
94. MALCOLM MCCLAREN            MADAME BUTTERFLY
95. NEW ORDER                   PERFECT KISS
96. PETER MURPHY                CUTS YOU UP
97. THE B-52'S                  ROAM
98. CETU JAVU                   HAVE IN MIND
99. THE THE                     KINGDOM OF RAIN
100. THE SMITHS                 BIGMOUTH STRIKES AGAIN
101. THE ENGLISH BEAT           SAVE IT FOR LATER
102. FINE YOUNG CANNIBALS       SHE DRIVES ME CRAZY
103. UB40                       RED RED WINE
104. THE BELOVED                HELLO
105. TEARS FOR FEARS            MAD WORLD
106. TALKING HEADS              BURNING DOWN THE HOUSE
107. SPLIT ENZ                  I GOT YOU
108. U2                         WITH OR WITHOUT YOU
109. RED HOT CHILI PEPPERS      SHOW ME YOUR SOUL
110. R.E.M.                     ORANGE CRUSH
111. OINGO BOINGO               WE CLOSE OUR EYES
112. MINISTRY                   WORK FOR LOVE
113. MARTIN L. GORE             COMPULSION
114. THE BOLLOCK BROTHERS       HARLEY DAVID
115. INXS                       THE ONE THING
116. FREUR                      DOOT DOOT
117. NEW ORDER                  1963
118. THE STONE ROSES            FOOL'S GOLD
119. ELVIS COSTELLO             OLIVER'S ARMY
120. INXS                       DON'T CHANGE
121. NEW ORDER                  ROUND & ROUND
122. TALKING HEADS              AND SHE WAS
123. CONSOLIDATED               CONSOLIDATED
124. ELVIS COSTELLO             ALISON
125. CROWDED HOUSE              DON'T DREAM IT'S OVER
126. SINEAD O'CONNOR            EMPEROR'S NEW CLOTHES
127. THE GO-GO'S                WE GOT THE BEAT
128. PETER GODWIN               IMAGES OF HEAVEN
129. THE B-52'S                 PRIVATE IDAHO
130. TALKING HEADS              PSYCHO KILLER
131. WESTWORLD                  PAINKILLER
132. THE SLICKEE BOYS           THIS PARTY SUCKS
133. BERLIN                     SEX (I'M A...)
134. DEPECHE MODE               MASTER % SERVANT
135. DEAD OR ALIVE              YOU SPIN ME AROUND
136. THE CLASH                  LONDON CALLING
137. ABC                        THE LOOK OF LOVE
138. DEPECHE MODE               A QUESTION OF LUST
139. UB40                       KINGSTON TOWN
140. THE RAMONES                I WANNA BE SEDATED
141. THE POLICE                 EVERY BREATH YOU TAKE
142. OMD                        ENOLA GAY
143. ULTRAVOX                   VIENNA
144. THE CURE                   WHY CAN'T I BE YOU?
145. THE CREATURES              FURY EYES
146. THE B-52'S                 DEADBEAT CLUB
147. THE ALARM                  ABSOLUTE REALITY
148. TEARS FOR FEARS            SOWING THE SEEDS OF LOVE
149. THE THE                    UNCERTAIN SMILE
150. DEPECHE MODE               BUT NOT TONIGHT
151. PETER MURPHY               INDIGO EYES
152. THE PRETENDERS             BACK ON THE CHAIN GANG
153. TEARS FOR FEARS            CHANGE
154. RED FLAG                   RUSSIAN RADIO
155. PETER GABRIEL              IN YOUR EYES
156. OMD                        TESLA GIRLS
157. NEW ORDER                  TEMPTATION
158. MORRISSEY                  EVERY DAY IS LIKE SUNDAY
159. LOVE & ROCKETS             SO ALIVE
160. THE ENGLISH BEAT           MIRROR IN THE BATHROOM
161. U2                         WHERE THE STREETS HAVE NO NAME
162. INXS                       NEED YOU TONIGHT
163. FINE YOUNG CANNIBALS       GOOD THING
164. THE B-52'S                 PLANET CLAIRE
165. THE NAILS                  88 LINES ABOUT 44 WOMEN
166. DURAN DURAN                PLANET EARTH
167. NEW ORDER                  THIEVES LIKE US
168. DEXY'S MIDNIGHT RUNNERS    COME ON EILEEN
169. DOMINATRIX                 DOMINATRIX SLEEPS TONIGHT
170. DEPECHE MODE               ROUTE 66
171. THE WATERBOYS              THE WHOLE OF THE MOON
172. ERASURE                    BLUE SAVANNAH
173. NENA                       99 LUFTBALLONS
174. SQUEEZE                    TEMPTED
175. XYMOX                      OBSESSION
176. XTC                        MAYOR OF SIMPLETON
177. VOICE FARM                 JOHNNY BELINDA
178. VISAGE                     FADE TO GREY
179. TRANSLATOR                 EVERYWHERE THAT I'M NOT
180. THOMPSON TWINS             IF YOU WERE HERE
181. NEW ORDER                  DREAM ATTACK
182. THE STRANGLERS             GOLDEN BROWN
183. SIMPLE MINDS               BELFAST CHILD
184. THE SMITHS                 THE BOY WITH THE THORN . . .
185. DEPECHE MODE               STRIPPED
186. THE MISSION U.K.           BUTTERFLY ON A WHEEL
187. THE HUMAN LEAGUE           DON'T YOU WANT ME
188. GANGWAY                    MY GIRL & ME
189. LOU REED                   WALK ON THE WILD SIDE
190. U2                         DESIRE
191. DEAD OR ALIVE              BRAND NEW LOVER
192. DAVID BOWIE                CHANGES
193. THE B-52'S                 LEGAL TENDER
194. CETU JAVU                  A DONDE
195. INXS                       ORIGINAL SIN
196. GEORGE KRANTZ              DIN DA DA
197. THE FIXX                   STAND OR FALL
198. DURAN DURAN                HUNGRY LIKE THE WOLF
199. THE DAMNED                 IN DULCE DECORUM
200. TEARS FOR FEARS            EVERYBODY WANTS TO RULE THE WORLD
201. U2                         EVERLASTING LOVE
