:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:
:   Earth's Dreamlands    :  Info on: RPG's,  :(313)558-5024 : area code    :
:RPGNet World HQ & Archive: Drugs, Industrial :(313)558-5517 : changes to   :
:  1000's of text files   :  music, Fiction,  :InterNet      : (810) after  :
:   No Elite / No porn    :   HomeBrew Beer.  :rpgnet@aol.com: Dec 1,1993   :
:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:

List of spells for AD&D 2nd Edition.  
This list is organized alphabetically by level.


Spell                            School(s)             Where
1st Level Spells
Affect Normal Fires              Alt                   PHB
Alarm                            Abj, Evoc             PHB
Animate Dead Animals             Necro                 Dr167
Armor                            Conj                  PHB
Audible Glamer                   Ill/Phant             PHB
Balance                          Ench                  Dr166
Bigby's Bookworm Bane            Evoc                  GA
Bigby's Feeling Fingers          Evoc                  GA
Bugman's Mug                     Alt                   Dr163
Burning Hands                    Alt                   PHB
Cantrip                          (all)                 PHB
Catapult                         Alt                   FRA
Change Self                      Ill/Phant             PHB
Charm Person                     Ench/Charm            PHB
Chill Touch                      Necro                 PHB
Chromatic Orb                    Alt, Evoc             CWH
Color Spray                      Alt                   PHB
Comprehend Languages (R)         Alt                   PHB
Conjure Spell Component          Conj/Summ             ToM
Copy                             Evoc                  CWH
Corpse Visage                    Ill, Necro            CWH
Corpselight                      Alt, Necro            FRA
Dancing Lights                   Alt                   PHB
Detect Disease                   Div                   CWH
Detect Magic                     Div                   PHB
Detect Undead                    Div, Necro            PHB
Divining Rod                     Div                   CWH
Drawmij's Beast of Burden        Alt                   GA
Drawmij's Light Step             Alt                   GA
Enlarge (R)                      Alt                   PHB
Erase                            Alt                   PHB
Feather Fall                     Alt                   PHB
Find Familiar                    Conj/Summ             PHB
Fire Burst                       Alt, Evoc             ToM
Fist of Stone                    Alt                   ToM
Friends                          Ench/Charm            PHB
Gaze Reflection                  Alt                   PHB
Grease                           Conj                  PHB
Hold Portal                      Alt                   PHB
Hornung's Guess*                 Div                   ToM
Hypnotism                        Ench/Charm            PHB
Identify                         Div                   PHB
Jump                             Alt                   PHB
Know School                      Div                   FRA
Lasting Breath                   Alt                   ToM
Light                            Alt                   PHB
Liquid Orb                       Conj/Summ             Dr187
Magic Missile                    Evoc                  PHB
Mending                          Alt                   PHB
Mental Block                     Ench/Charm            Dr163
Metamorphose Liquids             Alt                   ToM
Message                          Alt                   PHB
Mordenkainen's Prot. from Avians Abj                   GA
Mount                            Conj/Summ             PHB
Murdock's Feathery Flyer         Alt                   ToM
Nahal's Reckless Dweomer*        Invoc/Evoc            ToM
Nystul's Dancing Werelight       Alt                   GA
Nystul's Flash                   Evoc                  GA
Nystul's Magical Aura            Ill/Phant             PHB
Otiluke's Bubbling Buoyancy      Alt                   GA
Otiluke's Smoky Sphere           Evoc                  GA
Otto's Chime of Release          Alt                   GA
Patternweave*                    Div                   ToM
Phantasmal Force                 Ill/Phant             PHB
Protection From Evil (R)         Abj                   PHB
Protection From Hunger & Thirst  Abj                   CWH
Rary's Empathic Perception       Div                   GA
Read Magic                       Div                   PHB
Scatterspray                     Alt                   FRA
Sharpen                          Alt                   Dr163
Shield                           Evoc                  PHB
Shocking Grasp                   Alt                   PHB
Sleep                            Ench/Charm            PHB
Snilloc's Snowball               Evoc                  FRA
