Wizard Spells Revised   10/10/94
	1st Level Spells	1st level

OA	Accuracy
	Affect Normal Fire	
                  Alarm
AQAA	Alter Normal Winds
Drag167	Animate Dead Animals
OA	Animate Wood
                  Armor
	Audible Glamor
FR6	Aura Fire
AQAA	Avert Evil Eye
GHA	Bigby’s Bookworm Bane
GHA	Bigby’s Feeling Fingers
	Burning Hands
FRA	Catapult
UA	Cantrip(see Unearthed Arcana)
OA	Chameleon
	Charm Person
	Chill Touch
WHB	Chromatic Orb
FR6	Circle
OA	Cloud Ladder
Drag 	Color Blindness
	Color Spray
	Comprehend Languages
	Confuse Languages
TOM	Conjure Spell Component
AQAA	Cool Strength
FRA	Corpselight
WHB	Corpse Visage
	Dancing Lights
FR6	Deny Cold
WHB	Detect Disease
	Detect Magic
	Detect Undead
FR6	Detho’s Delirium
CSBS	Disarm
WHB	Divining Rod
GHA	Drawmij’s Beast of Burden
GHA	Drawmij’s Light Step
OA	Drowsy Insects
OA	Elemental Burst
	Enlarge
	Erase
Drag197	Erdlu Claw
	Feather Fall
OA	Fiery Eyes
	Find Familiar
TOM	Fire Burst
AQAA	Fire Truth
TOM	Fist of Stone
DLR1	Float
	Friends
Dung15	Frost Fingers
Drag204	Gain Weight
CSBS	Gemidan’s icicle
OA	Ghost Light
Drag197	Giant Fur
	Grease
OA	Hail of Stone 
	Hold Portal
TOM	Hornung’s Guess (WM)
	Hypnotism
	Identify
FR16	Insulation 
	Jump
FRA	Know School
TOM	Lasting Breath 
	Light
CSBS	Lightning Bug
Drag204	Macho’s Uncontrollable Hideous Belching
	Magic Missile
OA	Melt
	Mending
	Message
TOM	Metamorphose Liquids
GHA	Mordenkainen’s Protection from Avians
	Mount
AQAA	Move Sand
TOM	Murdock’s Feathery Flyer
TOM	Nahal’s Reckless Dweomer (WM)
Drag203	Normal Aura
GHA	Nystul’s Dancing Werelight
GHA	Nystul’s Flash
	Nystul’s Magical Aura
FOR3	Oilskin
GHA	Otiluke’s Bubbling Buoyancy
GHA	Otiluke’s Smoky Sphere
GHA	Otto’s Chime of Release
TOM	Patternweave (WM)
Drag204	Pelf’s Rancid Arrow
Drag197	Petrification
	Phantasmal Force
OA	Prestidigitation
	Protection from Evil
	Protection from Good
WHB	Protection from Hunger and Thirst
GHA	Rary’s Empathic Projection
	Read Magic
FR16	Read Southern Magic
	Reduce
CSBS	Reveal Magic
AQAA	Sand Jambiya
AQAA	Sand Quiet
AQAA	Sand Slumber
FRA	Scatterspray
FOR3	Sea Legs
AQAA	Sea Sight
OA	Secret Signs
	Shield
	Shocking Grasp
	Sleep
CSBS	Slingstar
FRA	Snilloc's Snowball
Drag167	Spectral Ears
Drag167	Spectral Eyes
Drag167	Spectral Voice
	Spider Climb
FOR2	Spidereyes
	Spook
OA	Still Water
Drag205	Sustain Fire
FR6	Summon Undead
OA	Swim
	Taunt
Drag	Tasso’s Shriek
GHA	Tenser’s Eye of the Tiger
	Tenser’s Floating Disc
GHA	Tenser’s Steady Aim
AQAA	Traceless Travel
CSBS	Trembling Horn
Drag	Tunnel Vision
	Unseen Servant
	Ventriloquism
Drag204	Wake-up Call
	Wall of Fog
OA	Warp Wood
AQAA	Waterbane
OA	Water Protection
FOR3	Weathertell
AQAA	Wind Compass
	Wizard Mark   	                                                
  
            2nd Level Spells	3rd Level

FRA	Agannazers’s Scorcher
	Alter Self
OA	Animal Companion
OA	Apparition
OA	Animate Water
AQAA	Banish Dazzle
CSBS	Battering Ram
GHA	Bigby’s Dexterous Digits
GHA	Bigby’s Silencing Hand
	Bind
FRA	Bladethirst
Drag	Blandness
Drag188 Blastbones
	Blindness
Drag	Blood Glass
	Blur
Drag197	Boneiron
Drag197	Bonewood
EHB	Camouflage
TOM	Chaos Shield (WM)
WHB	Choke
Drag203	Charge
FRA	Cloak from Undead
FRA	Cloak Undead
	Continual Darkness
	Continual Light
Drag185 Curse of the Grinning Skull
Drag	Dark Mirror
	Darkness, 15’ Radius
FR16	Darsson’s Cooling Breeze
FR16	Darsson’s Fiery Cube
	Deafness
WHB	Death Recall
FRA	Decastave
	Deepockets
AQAA	Depth Warning
	Detect Evil
	Detect Good
	Detect Invisible
WHB	Detect Life
FR6	Detect Poison
DSCS	Detect Psionics
GHA	Drawmij’s Adventurer’s Luck
GHA	Drawmij’s Breath of Life
GHA	Drawmij’s Scent Mask
GHA	Drawmij’s Swift Mount
Drag210	Drenal’s Annoying Poke
Drag210	Drenal’s Distraction
Drag210	Drenal’s Dry Ink
Drag210	Drenal’s Stone Flame
AQAA	Dust Curtain
Drag	Echoes
OA	Enchanted Blade
AQAA	Enlarge Desert Creature
	ESP
WHB	Filter
AQAA	Fire Arrows
OA	Fire Shuriken 
Drag	Firestaff
	Flaming Sphere
FRA	Flying Fist
AQAA	Flying Jambiya
	Fog Cloud
	Fool’s Gold
Drag	Forcewave
	Forget
Drag200 Frostfire
SCZ	Gandalf’s Mana Bolt (BM)
CSBS	Gemidan’s Paralytic Missile
FRA	Ghost Pipes
WHB	Ghoul Touch
	Glitterdust
Drag204	Hold Portal Open
TOM	Hornung's Baneful Deflector (WM)
	Hypnotic Pattern
FRA	Ice Knife
FOR3	Immurk’s Distraction
	Improved Phantasmal Force
TOM	Insatiable Thirst
	Irritation
	Invisibility
	Knock
	Know Alignment
	Leomund’s Trap
	Levitate
Drag203	Lightning Strike
	Locate Object
SPJR	Locate Portal
	Lock
	Magic Mouth
GHA	Mordenkainen’s Encompassing Vision
FOR3	Mass Jump
TOM	Maximilian’s Earthen Grasp
	Melf’s Acid Arrow
	Mirror Image
	Misdirection
TOM	Nahal’s Nonsensical Nullifier (WM)
CSBS	Net
GHA	Nystul’s Blackmote
GHA	Nystul’s Blazing Beam
GHA	Nystul’s Crystal Dagger
	Obscure Object
GHA	Otiluke’s Boiling Oil Bath
GHA	Otto’s Soothing Vibrations
GHA	Otto’s Tones of Forgetfulness
TOM	Past Life
AQAA	Pillar of Sand
FR6	Power Word: Sleep
FR6	Predict Weather
FR16	Protection from Birds
	Protection from Cantrips
OA	Protection from Charm
TOM	Protection from Paralysis
	Pyrothecnics
FRA	Quimby’s Enchanting Gourmet
Drag205	Rainfire
GHA	Rary’s Aptitude Appropriator
	Ray of Enfeeblement
FR6	Resist Energy Drain
TOM	Ride the Wind
	Rope Trick
AQAA	Sand Shadow
	Scare
EHB	Seeking
TOM	Sense Shifting
Drag200 Shadowbolt
	Shatter
Drag167	Skeletal Hands
FOR2	Skyhook
Drag200 Slowspell
Drag	Slumberward
OA	Smoke Shape
OA	Smoky Form
FRA	Snilloc’s Snowball Swarm
FR6	Speak with Dead
	Spectral Hand
EOE	Speedmount
	Stinking Cloud
	Strength
	Summon Swarm
AQAA	Sun Dazzle
	Tasha’s Uncontrollable Hideous
	Laughter 
GHA	Tenser’s Brawl
GHA	Tenser’s Hunting Hawk
Drag185 Thundaeral’s Universal Taster
AQAA	True Bearing
FRA	Undead Mount
	Undetectable Alignment
FRA	Vocalize (FRA)
WHB	Vocalize (WHB)
DSDK	Wakefulness
AQAA	Wall Against Noise
PSCS	Warp Sense
	Web
UMA	Whirling Blade
AQAA	Whispering Sand
	Whispering Wind
OA	Whip
OA	Wind Breath
AQAA	Wind Shadow
	Wizard Lock
CSBS	Wound Bind

            3rd Level Spells	5th Level
 
	Air Breathing
SJR1	Airsphere
TOM	Alacrity
TOM	Alamir’s Fundamental Breakdown
TOM	Alternate Reality (WM)
OA	Animate Fire
TOM	Augmentation 1
FR6	Assist
	Babble
GHA	Bigby’s Pugnacious Pugilist
FRA	Blacklight
	Blink
WHB	Bone Club
Drag167	Bone Knit
FR6	Chant
FR6	Charm Undead
SPJR	Chill Fire
	Clairaudience
	Clairvoyance
OA	Cloud Burst
OA	Commune with Lesser Spirit
FOR2	Dark Wings
WHB	Delay Death
	Delude
FR6	Detect Charm
OA	Detect Shapechanger
FRA	Dire Charm
OA	Disguise
FOR3	Dispel Fog
	Dispel Magic
FRA	Dispel Silence
Drag188 Double Spell
GHA	Drawmij’s Marvelous Shield
GHA	Drawmij’s Iron Sack
Drag210	Drenal’s Amok Needles
Drag210	Drenal’s Eyesore
Drag210	Drenal’s Sound Barrier
SPJR	Enhance Rating
Drag197	Erdlu Hide
	Explosive Runes
OA 	Fabricate
OA	Face
	Far Reaching 1
CSBS	Fearfire
	Feign Death
FR6	Find Traps
	Fireball
	Fireflow (WM)
OA	Fire Rain
OA	Fire Wings
	Flame Arrow
DSCS	Fleet Feet
	Fly
	Fool’s Speech (WM)
CSBS	Gamalon’s Fiery Backlash
Drag167	Ghastly Hands
FRA	Ghost Armor
	Gust of Wind
Drag204	Hallucinatory Murrain
FOR2	Hand of Darkness
	Haste
CSBS	Healing Touch
	Hold Person
	Hold Undead
FRA	Hold Vapor
WHB	Hovering Skull
FRA	Ice Lance
	Illusionary Script
	Infravision
WHB	Invisible Mail
	Invisibility, 10’ Radius
WHB	Iron Mind
	Item
UMA	Khelben’s Suspended Silence
FRA	Laeral’s Dancing Dweomer
	Leomund’s Tiny Hut
	Lightning Bolt
CSBS	Lightning Rod
Drag203	Lightning Staff
	Lorloveim’s Creeping Shadow
OA	Magnetism
	Maximilian’s Stony Grip
	Melf’s Minute Meteors
OA	Memory
	Minor Malison
	Monster Summoning 2
VGN	Moonglow
GHA	Mordenkainen’s Defense Against Lycanthropes
GHA	Mordenkainen’s Def. Aga. Nonmagical Reptiles 		and Amphibians
GHA	Mordenkainen’s Protection from Insects and 		Arachnids
FRA	Mummy Touch
FRA	Nchaser’s Glowing Globe
FRA	Nightscar
	Non-Detection
Drag	Numbness
GHA	Nystul’s Crystal Dirk
GHA	Nystul’s Expeditious Fire Extinguisher
GHA	Nystul’s Golden Revelation
GHA	Nystul’s Radiant Baton
GHA	Otiluke’s Acid Cloud
GHA	Otiluke’s Force Umbrella
GHA	Otto’s Crystal Rhythms
GHA	Otto’s Sure-Footed Shuffle
WHB	Pain Touch
FRA	Paralyze
	Phantom Steed
FR6	Preservation
FOR3	Preserve Wood
Drag200 Proficiency
FRA	Proof from Teleportation
FR6	Protection from All Lycanthropes-10’ Radius
